Feature,value
Apparent Extract/Final Gravity (°Plato),1.018-1.024 (4.6-6.1 °Plato)
Alcohol by Weight (Volume),5.00%-6.00% (6.30%-7.60%)
Bitterness (IBU),20-30
Color SRM (EBC),20-30(40-60 EBC)
Category,German-Style Heller Bock/Maibock
Color,"Pale to light amber. The German word ‘helle’ means light-colored, thus Heller Bock is a pale beer."
Clarity,Appearance should be clear. Chill haze should not be present
Perceived Malt Aroma & Flavor,Light toasty or bready aroma and flavor attributes are often present. Roast or heavy toast/caramel malt aromas and ﬂavors should not be present.
Perceived Hop Aroma & Flavor,"Low to medium-low, derived from noble-type hops."
Perceived Bitterness,Low to medium-low
Fermentation Characteristics,"Fruity esters, if present, should be low. Diacetyl should not be present."
Body,Medium to full
Original Gravity (°Plato),1.066-1.074 (16.1-18 °Plato)
Apparent Extract/Final Gravity (°Plato),1.012-1.02 (3.1-5.1 °Plato)
Alcohol by Weight (Volume),5.00%-6.40% (6.30%-8.10%)
Bitterness (IBU),20-38
Color SRM (EBC),4-9(8-18 EBC)
Category,Traditional German-Style Bock
Color,Dark brown to very dark
Clarity,Appearance should be clear. Chill haze should not be present
Perceived Malt Aroma & Flavor,"Traditional Bocks are made with all malt and have high malt character with aromas of toasted or nutty malt, but not caramel. Traditional bocks display high malt sweetness. The malt ﬂavor profile should display a balance of sweetness and toasted or nutty malt, but not caramel."
Perceived Hop Aroma & Flavor,Very low
Perceived Bitterness,"Medium, increasing proportionately with starting gravity."
Fermentation Characteristics,Fruity esters if present should be minimal. Diacetyl should not be present.
Body,Medium to full
Original Gravity (°Plato),1.066-1.074 (16.1-18 °Plato)
Apparent Extract/Final Gravity (°Plato),1.018-1.024 (4.6-6.1 °Plato)
Alcohol by Weight (Volume),5.00%-6.00% (6.30%-7.60%)
Bitterness (IBU),20-30
Color SRM (EBC),20-30(40-60 EBC)
Category,German-Style Doppelbock
Color,Copper to dark brown
Clarity,Appearance should be clear. Chill haze should not be present
Perceived Malt Aroma & Flavor,Pronounced aromas and flavors of toasted malted barley. Some caramel and toffee character can contribute to complexity in a secondary role. Dark fruit flavors such as prune and raisin may be present. Malty sweetness is pronounced but should not be cloying. There should be no astringency from roasted malts.
Perceived Hop Aroma & Flavor,Hop aroma is absent. Hop ﬂavor is low.
Perceived Bitterness,Low
Fermentation Characteristics,Alcoholic strength is high. Fruity esters are commonly perceived at low to moderate levels. Diacetyl should not be present.
Body,Full
Original Gravity (°Plato),1.074-1.08 (18-19.3 °Plato)
Apparent Extract/Final Gravity (°Plato),1.014-1.02 (3.6-5.1 °Plato)
Alcohol by Weight (Volume),5.20%-6.20% (6.60%-7.90%)
Bitterness (IBU),17-27
Color SRM (EBC),12-30(24-60 EBC)
Category,German-Style Eisbock
Color,Light brown to black
Clarity,Appearance should be clear. Chill haze should not be present
Perceived Malt Aroma & Flavor,Sweet malt character is very high. Dark fruit flavors such as prune and raisin may be present
Perceived Hop Aroma & Flavor,Hop aroma and ﬂavor is absent
Perceived Bitterness,Very low to low
Fermentation Characteristics,"Alcohol may be present in aroma. Fruity esters may be evident, but not overpowering. Diacetyl should not be present. Alcoholic strength is very high."
Body,Very full
Additional notes,"This is a stronger version of Doppelbock. Traditionally, these beers were created by freezing a Doppelbock and removing the ice, thus concentrating the alcohol."
Original Gravity (°Plato),1.074-1.116 (18-27.2 °Plato)
Apparent Extract/Final Gravity (°Plato),N/A
Alcohol by Weight (Volume),6.80%-11.30% (8.60%-14.30%)
Bitterness (IBU),26-33
Color SRM (EBC),15-50(30-100 EBC)
Category,Chocolate or Cocoa Beer
Color,Can range from pale to very dark depending on the underlying style
Clarity,Clear to hazy is acceptable
Perceived Malt Aroma & Flavor,Medium-low to medium-high malt sweetness balanced with cocoa ﬂavors and aromas
Perceived Hop Aroma & Flavor,Hop aroma may vary based on underlying style and often may be lower than is designated for underlying style allowing chocolate to contribute to the ﬂavor proﬁle without becoming excessively bitter.
Perceived Bitterness,Very low to medium-low
Fermentation Characteristics,"Typical of underlying beer style. Attributes derived from chocolate or cocoa should be apparent in all such beers, ranging from subtle to intense, and in harmony with the overall flavor profile of the beer."
Body,Varies with underlying style
Additional notes,"Chocolate Beers are beers of any classic style which incorporate dark chocolate or cocoa in any form. Beers made with white chocolate do not typify this category; however, beers which clearly exhibit attributes typical of white chocolate could be categorized as chocolate beer. Within the framework of this competition, all Chocolate Beers made with chilis should be categorized as Chili Beers. When using these guidelines as the basis for evaluating entries at competitions, competition organizers may create categories which reflect groups of chocolate beers based on underlying beer style or other factors. Brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style upon which the entry is based, or other information unique to the entry such as type or form of chocolate used or other factors which influence perceived sensory outcomes."
Original Gravity (°Plato),Varies with style
Apparent Extract/Final Gravity (°Plato),Varies with style
Alcohol by Weight (Volume),Varies with style
Bitterness (IBU),Varies with style
Color SRM (EBC),Varies with style
Category,American-Style Lager
Color,Straw to gold
Clarity,Chill haze should not be present
Perceived Malt Aroma & Flavor,Malt sweetness is very low to low
Perceived Hop Aroma & Flavor,Not present to very low
Perceived Bitterness,Not present to very low
Fermentation Characteristics,"Fruity esters are usually absent, but may be present at very low levels. Diacetyl, acetaldehyde, and DMS should not be present."
Body,Low
Additional notes,"Corn, rice, or other grain or sugar adjuncts are often used. American Lagers are very clean and crisp, and aggressively carbonated."
Original Gravity (°Plato),1.04-1.048 (10-11.9 °Plato)
Apparent Extract/Final Gravity (°Plato),1.006-1.012 (1.5-3 °Plato)
Alcohol by Weight (Volume),3.20%-4.00% (4.10%-5.10%)
Bitterness (IBU),5-15
Color SRM (EBC),2-4(4-8 EBC)
Category,Contemporary American-Style Lager
Color,Straw to gold
Clarity,Chill haze should not be present
Perceived Malt Aroma & Flavor,Malt sweetness and aroma are very low to low
Perceived Hop Aroma & Flavor,Very low to low
Perceived Bitterness,Very low to low
Fermentation Characteristics,"Fruity esters are usually absent but may be present at very low levels. Diacetyl, acetaldehyde, and DMS should not be present."
Body,Low
Additional notes,"Corn, rice, or other grain or sugar adjuncts are often used, but all-malt formulations are also made. Contemporary American Lagers typically exhibit increased hop aroma and flavor compared to traditional versions, are clean and crisp, and aggressively carbonated."
Original Gravity (°Plato),1.04-1.048 (10-11.9 °Plato)
Apparent Extract/Final Gravity (°Plato),1.006-1.012 (1.5-3 °Plato)
Alcohol by Weight (Volume),3.20%-4.00% (4.10%-5.10%)
Bitterness (IBU),5-16
Color SRM (EBC),2-4(4-8 EBC)
Category,American-Style Light Lager
Color,Very light to pale
Clarity,Chill haze should not be present
Perceived Malt Aroma & Flavor,Very low
Perceived Hop Aroma & Flavor,Absent to very low
Perceived Bitterness,Absent to very low
Fermentation Characteristics,"Fruity esters are usually absent but may be present at very low levels. Diacetyl, acetaldehyde, and DMS should not be present. These beers are characterized by an extremely high degree of attenuation. Final gravity is often less than 1.000 (0.0 ºPlato)."
Body,Low with dry mouthfeel
Additional notes,"Corn, rice or other grain or sugar adjuncts are often used. These beers are high in carbonation. Flavor attributes typical of beer are usually very low when present. Calories should not exceed 125 per 12-ounce serving. Low carb beers should have a maximum carbohydrate level of 3.0 gm per 12 oz. (355 ml)."
Original Gravity (°Plato),1.024-1.04 (6.1-10 °Plato)
Apparent Extract/Final Gravity (°Plato),0.992-1.008 (minus 2.1-2.1 °Plato)
Alcohol by Weight (Volume),2.80%-3.50% (3.50%-4.40%)
Bitterness (IBU),4-10
Color SRM (EBC),1.5-4(3-8 EBC)
Category,Contemporary American-Style Light Lager
Color,Very light to medium amber. The word ‘Light’ refers to light body and reduced calories rather than color.
Clarity,Chill haze should not be present
Perceived Malt Aroma & Flavor,Very low but present
Perceived Hop Aroma & Flavor,Very low to low
Perceived Bitterness,Very low to low
Fermentation Characteristics,"Fruity esters are usually absent but may be present at very low levels. Diacetyl, acetaldehyde, and DMS should not be present. These beers are characterized by an extremely high degree of attenuation. Final gravity is often less than 1.000 (0.0 ºPlato)."
Body,"Low to medium-low, often with dry mouthfeel"
Additional notes,"Corn, rice, or other grain or sugar adjuncts are often used but all-malt formulations are also made. These beers are high in carbonation. Hop attributes, though subtle, are more evident than in traditional American-Style Light Lager. Calories should not exceed 125 per 12-ounce serving. Low carb beers should have a maximum carbohydrate level of 3.0 gm per 12 oz. (355 ml)"
Original Gravity (°Plato),1.024-1.04 (6.1-10 °Plato)
Apparent Extract/Final Gravity (°Plato),0.992-1.008 (minus 2.1-2.1 °Plato)
Alcohol by Weight (Volume),2.80%-3.50% (3.50%-4.40%)
Bitterness (IBU),4-15
Color SRM (EBC),1.5-12(3-24 EBC)
Category,American-Style Pilsener
Color,Straw to gold
Clarity,Appearance should be clear. Chill haze should not be present
Perceived Malt Aroma & Flavor,Medium-low to medium
Perceived Hop Aroma & Flavor,"Medium to high, exhibiting attributes typical of noble-type hops"
Perceived Bitterness,Medium to medium-high
Fermentation Characteristics,"DMS, acetaldehyde, fruity esters, and diacetyl should not be present."
Body,Medium-low to medium
Additional notes,"Finish should exhibit low to medium-low body with a clean, crisp malt character evident at low levels. Up to 25% corn or rice in the grist should be used. Beers in this category hew to American-style lagers typical of the pre-Prohibition era."
Original Gravity (°Plato),1.045-1.06 (11.2-14.7 °Plato)
Apparent Extract/Final Gravity (°Plato),1.012-1.018 (3.1-4.6 °Plato)
Alcohol by Weight (Volume),3.90%-4.70% (4.90%-6.00%)
Bitterness (IBU),25-40
Color SRM (EBC),3-6(6-12 EBC)
Category,Contemporary American-Style Pilsener
Color,Straw to gold
Clarity,Appearance should be clear. Chill haze should not be present
Perceived Malt Aroma & Flavor,Medium-low to medium
Perceived Hop Aroma & Flavor,"Medium to high. While traditional versions exhibit attributes typical of noble-type hops, contemporary versions will exhibit attributes typical of a wide range of hop varieties."
Perceived Bitterness,Medium to medium-high
Fermentation Characteristics,"DMS, acetaldehyde, fruity esters, and diacetyl should not be present."
Body,Medium-low to medium
Additional notes,All-malt grists are commonly used; up to 25% corn or rice may be incorporated in the grist. Beers in this category diverge from American-style lagers typical of the pre-Prohibition era by virtue of a wide range of hop aroma and flavor attributes.
Original Gravity (°Plato),1.045-1.053 (11.2-13 °Plato)
Apparent Extract/Final Gravity (°Plato),1.01-1.018 (2.5-4.6 °Plato)
Alcohol by Weight (Volume),3.90%-4.70% (4.90%-6.00%)
Bitterness (IBU),25-50
Color SRM (EBC),3-6(6-12 EBC)
Category,American-Style India Pale Lager
Color,Straw to gold
Clarity,Hop haze is allowable. Chill haze should not be present
Perceived Malt Aroma & Flavor,"Very low to medium, and may exhibit bready, cracker-like, or other attributes typical of pale malts"
Perceived Hop Aroma & Flavor,Medium to high with attributes typical of hops of any origin
